concept,prefLabel,broad,altLabels
https://hdl.handle.net/20.500.11840/termmaster10079293,uitoefenen van geweld,https://hdl.handle.net/20.500.11840/termmaster10049755,geweld | violence
https://hdl.handle.net/20.500.11840/termmaster10068310,zeilvaartuigen,https://hdl.handle.net/20.500.11840/termmaster10068305,sailing vessels
https://hdl.handle.net/20.500.11840/termmaster10064029,Delhi (hoofdstadregio),https://hdl.handle.net/20.500.11840/termmaster10063752,Delhi (union territory) | Oud Delhi
https://hdl.handle.net/20.500.11840/termmaster10048934,wedstrijd met dieren,https://hdl.handle.net/20.500.11840/termmaster10048926,kameelraces | paardenraces | tournaments with animals
https://hdl.handle.net/20.500.11840/termmaster10064838,met viltstift tekenen,https://hdl.handle.net/20.500.11840/termmaster10064832,felt-tip pen drawing | met viltstift getekend
https://hdl.handle.net/20.500.11840/termmaster10072007,mondboren,https://hdl.handle.net/20.500.11840/termmaster10072006,mouth drills
https://hdl.handle.net/20.500.11840/termmaster10056607,South Ayrshire,https://hdl.handle.net/20.500.11840/termmaster10056600,
https://hdl.handle.net/20.500.11840/termmaster10061020,Kaifeng,https://hdl.handle.net/20.500.11840/termmaster10061018,
https://hdl.handle.net/20.500.11840/termmaster10068195,drachmemunten,https://hdl.handle.net/20.500.11840/termmaster10068183,drachma coins
https://hdl.handle.net/20.500.11840/termmaster10069240,sieraden naar functie,https://hdl.handle.net/20.500.11840/termmaster10069233,jewelry by function
https://hdl.handle.net/20.500.11840/termmaster10065305,ijzer en ijzerlegering,https://hdl.handle.net/20.500.11840/termmaster10065304,iron and iron alloy
https://hdl.handle.net/20.500.11840/termmaster10063983,Cuttack District,https://hdl.handle.net/20.500.11840/termmaster10063982,
https://hdl.handle.net/20.500.11840/termmaster10063062,Pemalang (regentschap),https://hdl.handle.net/20.500.11840/termmaster10063042,Pemalang (kabupaten) | Pemalang (regency)
https://hdl.handle.net/20.500.11840/termmaster10071941,inkt-en-verfbereidingsgereedschap,https://hdl.handle.net/20.500.11840/termmaster10071815,ink and paint preparation tools
https://hdl.handle.net/20.500.11840/termmaster10059832,Groenland,https://hdl.handle.net/20.500.11840/termmaster10059438,GRL  | Greenland | Grönland | Kalaallit Nunaat
https://hdl.handle.net/20.500.11840/termmaster10068605,top- en randornamenten,https://hdl.handle.net/20.500.11840/termmaster10068603,culminating and edge ornaments
https://hdl.handle.net/20.500.11840/termmaster10071478,weefbomen,https://hdl.handle.net/20.500.11840/termmaster10071461,weaving beams
https://hdl.handle.net/20.500.11840/termmaster10054850,Littoral (provincie),https://hdl.handle.net/20.500.11840/termmaster10054795,Littoral (province)
https://hdl.handle.net/20.500.11840/termmaster10060532,Aibom,https://hdl.handle.net/20.500.11840/termmaster10060520,
https://hdl.handle.net/20.500.11840/termmaster10062422,Ruteng,https://hdl.handle.net/20.500.11840/termmaster10062419,
https://hdl.handle.net/20.500.11840/termmaster10056986,Königskopf,https://hdl.handle.net/20.500.11840/termmaster10056939,
https://hdl.handle.net/20.500.11840/termmaster10068962,schijven,https://hdl.handle.net/20.500.11840/termmaster10068934,disks (object genres)
https://hdl.handle.net/20.500.11840/termmaster10079672,natuur- en landschapsbeheer,https://hdl.handle.net/20.500.11840/termmaster10048183,nature and landscape management
https://hdl.handle.net/20.500.11840/termmaster10055128,Mopti (regio),https://hdl.handle.net/20.500.11840/termmaster10055095,Mopti (region)
https://hdl.handle.net/20.500.11840/termmaster10056126,Loosdrechtse Plassen,https://hdl.handle.net/20.500.11840/termmaster10056110,
https://hdl.handle.net/20.500.11840/termmaster10055594,Sloten (voormalige gemeente),https://hdl.handle.net/20.500.11840/termmaster10055592,Sloten (former community)
https://hdl.handle.net/20.500.11840/termmaster10057467,Cantal,https://hdl.handle.net/20.500.11840/termmaster10057465,
https://hdl.handle.net/20.500.11840/termmaster10058125,Stoelmans-eilanden,https://hdl.handle.net/20.500.11840/termmaster10058104,Stoelmans Islands
https://hdl.handle.net/20.500.11840/termmaster10054905,Bijagós-eilanden,https://hdl.handle.net/20.500.11840/termmaster10054904,Bijagós Islands | Bisagos-eilanden | Bissagos-eilanden
https://hdl.handle.net/20.500.11840/termmaster10067331,kinderprenten,https://hdl.handle.net/20.500.11840/termmaster10067330,children's print
https://hdl.handle.net/20.500.11840/termmaster10063510,Nakhon Si Thammarat (provincie),https://hdl.handle.net/20.500.11840/termmaster10063506,Nakhon Si Thammarat (changwat) | Nakhon Si Thammarat (province)
https://hdl.handle.net/20.500.11840/termmaster10069271,heupringen,https://hdl.handle.net/20.500.11840/termmaster10069270,hip rings
https://hdl.handle.net/20.500.11840/termmaster10049115,adolescentie en jeugd,https://hdl.handle.net/20.500.11840/termmaster10049107,adolescence and youth | adolescentie | jeugd | waardering van jongvolwassenen
https://hdl.handle.net/20.500.11840/termmaster10071342,vlechtpriemen,https://hdl.handle.net/20.500.11840/termmaster10071338,peg awls | vlechtnaalden
https://hdl.handle.net/20.500.11840/termmaster10062462,Nita,https://hdl.handle.net/20.500.11840/termmaster10062459,Nitta
https://hdl.handle.net/20.500.11840/termmaster10053897,Humpata,https://hdl.handle.net/20.500.11840/termmaster10053896,
https://hdl.handle.net/20.500.11840/termmaster10068564,speelballen,https://hdl.handle.net/20.500.11840/termmaster10068528,ballen (speelgoed) | balls (object genres)
https://hdl.handle.net/20.500.11840/termmaster10064332,At Ta'min (gouvernement),https://hdl.handle.net/20.500.11840/termmaster10064331,At Ta'min (governorate) | Kirkuk (Gouvernement)
https://hdl.handle.net/20.500.11840/termmaster10067396,miniaturen (schilderingen),https://hdl.handle.net/20.500.11840/termmaster10067390,miniatures (paintings) | miniatuurschilderingen
https://hdl.handle.net/20.500.11840/termmaster10065646,monkey pot,https://hdl.handle.net/20.500.11840/termmaster10065616,monkey pod | monkeypod | monkeypod tree | rain tree | rain-tree | samanea samán
https://hdl.handle.net/20.500.11840/termmaster10065634,itaùbahout,https://hdl.handle.net/20.500.11840/termmaster10065616,itaùba
