concept,prefLabel,broad,altLabels
https://hdl.handle.net/20.500.11840/termmaster10076864,Boven-Sepik -culturen,https://hdl.handle.net/20.500.11840/termmaster10076860,Upper Sepik cultures
https://hdl.handle.net/20.500.11840/termmaster10057277,Luarca,https://hdl.handle.net/20.500.11840/termmaster10057276,
https://hdl.handle.net/20.500.11840/termmaster10077458,Pulau Telo,https://hdl.handle.net/20.500.11840/termmaster10077457,
https://hdl.handle.net/20.500.11840/termmaster10066887,stenen graven,https://hdl.handle.net/20.500.11840/termmaster10066885,cist graves
https://hdl.handle.net/20.500.11840/termmaster10070351,blikken,https://hdl.handle.net/20.500.11840/termmaster10070287,blikken (houders) | cans (containers)
https://hdl.handle.net/20.500.11840/termmaster10063302,Tangkubanparahu (berg),https://hdl.handle.net/20.500.11840/termmaster10063300,Gunung Tangkuban Paerahu | Mount Tangkubanparahu | Tangkoeban Prahoe
https://hdl.handle.net/20.500.11840/termmaster10068905,geschenken,https://hdl.handle.net/20.500.11840/termmaster10068880,cadeaus | presents (gifts)
https://hdl.handle.net/20.500.11840/termmaster10070731,tabakshoorns,https://hdl.handle.net/20.500.11840/termmaster10070726,tobacco horns
https://hdl.handle.net/20.500.11840/termmaster10075794,twaalvers,https://hdl.handle.net/20.500.11840/termmaster10075792,Twelver
https://hdl.handle.net/20.500.11840/termmaster10054900,Pra (rivier),https://hdl.handle.net/20.500.11840/termmaster10054875,Pra (River)
https://hdl.handle.net/20.500.11840/termmaster10048035,piercing,https://hdl.handle.net/20.500.11840/termmaster10048026,
https://hdl.handle.net/20.500.11840/termmaster10057851,Warschau,https://hdl.handle.net/20.500.11840/termmaster10057847,Warszawa
https://hdl.handle.net/20.500.11840/termmaster10063212,Kalenbuntu,https://hdl.handle.net/20.500.11840/termmaster10063209,
https://hdl.handle.net/20.500.11840/termmaster10063474,Shan,https://hdl.handle.net/20.500.11840/termmaster10063469,
https://hdl.handle.net/20.500.11840/termmaster10054666,Ahero,https://hdl.handle.net/20.500.11840/termmaster10054664,
https://hdl.handle.net/20.500.11840/termmaster10067047,regeringsgebouwen,https://hdl.handle.net/20.500.11840/termmaster10067044,gouvernementsgebouwen | gouverneursgebouwen | governmetsbuildings | presidentiële gebouwen
https://hdl.handle.net/20.500.11840/termmaster10066736,putten naar functie,https://hdl.handle.net/20.500.11840/termmaster10066735,wells by function
https://hdl.handle.net/20.500.11840/termmaster10070082,gelegenheidsgedichten,https://hdl.handle.net/20.500.11840/termmaster10070081,gelegenheidsgedicht | occasional poem
https://hdl.handle.net/20.500.11840/termmaster10065620,kamferhout,https://hdl.handle.net/20.500.11840/termmaster10065616,camphor laurel | camphor tree | camphorwood
https://hdl.handle.net/20.500.11840/termmaster10062989,Madiun (regentschap),https://hdl.handle.net/20.500.11840/termmaster10062879,Madioen (regentschap) | Madiun (kabupaten) | Madiun (regency)
https://hdl.handle.net/20.500.11840/termmaster10065933,sits,https://hdl.handle.net/20.500.11840/termmaster10065930,chints | chintz | kalamkari
https://hdl.handle.net/20.500.11840/termmaster10069242,bruidssieraden,https://hdl.handle.net/20.500.11840/termmaster10069240,bridal jewelry
https://hdl.handle.net/20.500.11840/termmaster10076897,Kopar,https://hdl.handle.net/20.500.11840/termmaster10076895,
https://hdl.handle.net/20.500.11840/termmaster10062488,Lamalerap,https://hdl.handle.net/20.500.11840/termmaster10062487,Hada Kewa | Lamalera | Lamararap
https://hdl.handle.net/20.500.11840/termmaster10057261,Badajoz,https://hdl.handle.net/20.500.11840/termmaster10057260,
https://hdl.handle.net/20.500.11840/termmaster10055710,Lievelde,https://hdl.handle.net/20.500.11840/termmaster10055709,
https://hdl.handle.net/20.500.11840/termmaster10069488,poncho's,https://hdl.handle.net/20.500.11840/termmaster10069477,ponchos
https://hdl.handle.net/20.500.11840/termmaster10056633,Nefyn,https://hdl.handle.net/20.500.11840/termmaster10056631,Nevin
https://hdl.handle.net/20.500.11840/termmaster10056249,Heythuizen,https://hdl.handle.net/20.500.11840/termmaster10056222,
https://hdl.handle.net/20.500.11840/termmaster10061495,Intan Jaya (regentschap),https://hdl.handle.net/20.500.11840/termmaster10061490,Intan Jaya (kabupaten) | Intan Jaya (regency)
https://hdl.handle.net/20.500.11840/termmaster10071725,schapenscharen,https://hdl.handle.net/20.500.11840/termmaster10071724,sheep shears
https://hdl.handle.net/20.500.11840/termmaster10053822,Toamasina,https://hdl.handle.net/20.500.11840/termmaster10053821,
https://hdl.handle.net/20.500.11840/termmaster10067471,beeldhouwwerken naar locatie of context,https://hdl.handle.net/20.500.11840/termmaster10067443,sculpture by location or context
https://hdl.handle.net/20.500.11840/termmaster10067583,voorhangen,https://hdl.handle.net/20.500.11840/termmaster10067576,hangings for openings
https://hdl.handle.net/20.500.11840/termmaster10063118,Baturaden,https://hdl.handle.net/20.500.11840/termmaster10063111,Batoeraden
https://hdl.handle.net/20.500.11840/termmaster10054550,Zaghouan,https://hdl.handle.net/20.500.11840/termmaster10054549,Zaghwan | Zaqui | Zarhouan | Zigus
https://hdl.handle.net/20.500.11840/termmaster10064531,Bajil,https://hdl.handle.net/20.500.11840/termmaster10064523,
https://hdl.handle.net/20.500.11840/termmaster10069353,teenslippers,https://hdl.handle.net/20.500.11840/termmaster10069351,thongs (footwear)
https://hdl.handle.net/20.500.11840/termmaster10062658,Mahakam Ulu (regentschap),https://hdl.handle.net/20.500.11840/termmaster10062627,Mahakam Ulu (kabupaten) | Mahakam Ulu (regency)
https://hdl.handle.net/20.500.11840/termmaster10071774,medische uitrusting,https://hdl.handle.net/20.500.11840/termmaster10071520,medical equipment | uitrusting voor gezondheidszorg
https://hdl.handle.net/20.500.11840/termmaster10054356,Adrar (provincie),https://hdl.handle.net/20.500.11840/termmaster10054310,Adrar (province)
https://hdl.handle.net/20.500.11840/termmaster10058447,Ocongate,https://hdl.handle.net/20.500.11840/termmaster10058442,
https://hdl.handle.net/20.500.11840/termmaster10069737,soorten documenten naar productieomstandigheden,https://hdl.handle.net/20.500.11840/termmaster10069736,document genres by conditions of production
https://hdl.handle.net/20.500.11840/termmaster10067895,Koranstandaarden,https://hdl.handle.net/20.500.11840/termmaster10067894,Koran stands
https://hdl.handle.net/20.500.11840/termmaster10071681,stofblikken,https://hdl.handle.net/20.500.11840/termmaster10071671,dustpans
https://hdl.handle.net/20.500.11840/termmaster10070705,houders voor genotmiddelen,https://hdl.handle.net/20.500.11840/termmaster10070666,containers for stimulants
https://hdl.handle.net/20.500.11840/termmaster10056130,Zeist (gemeente),https://hdl.handle.net/20.500.11840/termmaster10056110,Zeist (municipality)
https://hdl.handle.net/20.500.11840/termmaster10054404,Azemmour,https://hdl.handle.net/20.500.11840/termmaster10054402,
https://hdl.handle.net/20.500.11840/termmaster10079461,inkomens- en vermogensongelijkheid,https://hdl.handle.net/20.500.11840/termmaster10047737,income and wealth inequality
https://hdl.handle.net/20.500.11840/termmaster10061668,Fai (rivier),https://hdl.handle.net/20.500.11840/termmaster10061643,Fai (river) | Hellwig-rivier
https://hdl.handle.net/20.500.11840/termmaster10049876,verlamming,https://hdl.handle.net/20.500.11840/termmaster10049874,paralysis
https://hdl.handle.net/20.500.11840/termmaster10064719,knopen (verbinden),https://hdl.handle.net/20.500.11840/termmaster10064717,geknoopt (verbinden) | tying
https://hdl.handle.net/20.500.11840/termmaster10059619,Isleta pueblo,https://hdl.handle.net/20.500.11840/termmaster10059617,Isleta del Sur
https://hdl.handle.net/20.500.11840/termmaster10054644,Lalibela,https://hdl.handle.net/20.500.11840/termmaster10054637,
https://hdl.handle.net/20.500.11840/termmaster10055160,Boni,https://hdl.handle.net/20.500.11840/termmaster10055158,
https://hdl.handle.net/20.500.11840/termmaster10058398,Paraguay,https://hdl.handle.net/20.500.11840/termmaster10058073,PRY 
https://hdl.handle.net/20.500.11840/termmaster10049868,erfelijke aandoeningen,https://hdl.handle.net/20.500.11840/termmaster10049867,erfelijke condities | genetic disorders
https://hdl.handle.net/20.500.11840/termmaster10077395,Mangyan,https://hdl.handle.net/20.500.11840/termmaster10077393,
https://hdl.handle.net/20.500.11840/termmaster10059643,Zia pueblo,https://hdl.handle.net/20.500.11840/termmaster10059617,
https://hdl.handle.net/20.500.11840/termmaster10054290,Aswan,https://hdl.handle.net/20.500.11840/termmaster10054289,Assoean | Syene | Syène
https://hdl.handle.net/20.500.11840/termmaster10061044,Shaanxi,https://hdl.handle.net/20.500.11840/termmaster10060930,
https://hdl.handle.net/20.500.11840/termmaster10054381,Wargla (departement),https://hdl.handle.net/20.500.11840/termmaster10054310,
https://hdl.handle.net/20.500.11840/termmaster10078771,Noordoost-Zaïrees,https://hdl.handle.net/20.500.11840/termmaster10078765,Northeast Democratic Republic of Congo styles | Northeast Zairean | stijlen van de noordoost-Democratische Republiek Congo
https://hdl.handle.net/20.500.11840/termmaster10062504,Halilulik,https://hdl.handle.net/20.500.11840/termmaster10062501,Haliloeli
https://hdl.handle.net/20.500.11840/termmaster10063641,Bodnath,https://hdl.handle.net/20.500.11840/termmaster10063639,
